time,FSR1,FSR2,FSR3,FSR4,FSR5,FSR6,FSR7,FSR8,FSR9,FSR10,flex,ax,ay,az,gx,gy,gz,mx,my,mz
2103,3901,3780,3145,3264,3966,3983,3962,3714,3941,3979,585,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,25.00,32.00,-12.00
2161,3902,3779,3150,3253,3971,3982,3962,3716,3945,3981,584,0.0000,0.0000,0.0000,0.7935,1.0986,0.8545,25.00,32.00,-12.00
2223,3902,3782,3150,3221,3969,3984,3962,3716,3947,3981,584,-0.8756,-0.2522,-0.4252,0.2441,0.8545,0.7935,24.00,34.00,-15.00
2272,3892,3781,3146,3203,3964,3982,3958,3714,3941,3979,583,-0.8768,-0.2521,-0.4264,-0.0610,1.1597,0.7324,24.00,34.00,-15.00
2336,3895,3785,3144,3175,3966,3981,3959,3715,3942,3981,583,-0.8762,-0.2544,-0.4246,0.4883,0.5493,0.1831,25.00,31.00,-11.00
2384,3891,3783,3144,3168,3968,3982,3961,3715,3944,3979,585,-0.8785,-0.2533,-0.4246,0.4272,-0.0610,-0.1221,25.00,31.00,-11.00
2448,3895,3780,3147,3171,3960,3981,3958,3718,3940,3978,585,-0.8754,-0.2539,-0.4250,-0.0610,-0.6104,0.3662,23.00,31.00,-14.00
2497,3894,3779,3151,3185,3962,3981,3959,3720,3942,3980,584,-0.8746,-0.2535,-0.4260,0.0610,-0.3052,0.4272,23.00,31.00,-14.00
2560,3895,3777,3153,3193,3969,3980,3956,3722,3943,3979,582,-0.8750,-0.2526,-0.4265,0.0610,-0.1831,0.0610,25.00,34.00,-13.00
2610,3895,3774,3154,3200,3968,3980,3961,3716,3942,3978,585,-0.8746,-0.2549,-0.4265,0.0610,0.0000,0.3052,25.00,34.00,-15.00
2670,3898,3777,3149,3208,3964,3981,3960,3714,3941,3974,583,-0.8732,-0.2554,-0.4263,0.0610,-0.5493,-0.1831,25.00,34.00,-15.00
2734,3898,3771,3150,3219,3967,3979,3959,3717,3943,3979,585,-0.8745,-0.2532,-0.4265,0.6714,-0.1831,-0.2441,22.00,33.00,-13.00
2782,3897,3770,3153,3227,3962,3980,3957,3716,3944,3972,583,-0.8751,-0.2535,-0.4270,0.4272,0.4272,-0.3052,22.00,33.00,-13.00
2845,3896,3770,3151,3226,3965,3981,3959,3715,3944,3972,584,-0.8734,-0.2543,-0.4275,0.3052,0.6104,-0.0610,25.00,33.00,-11.00
2907,3898,3771,3139,3219,3962,3981,3960,3717,3944,3975,583,-0.8735,-0.2534,-0.4268,0.1831,0.5493,-0.1831,22.00,30.00,-10.00
2967,3895,3775,3134,3217,3965,3981,3957,3714,3940,3978,584,-0.8760,-0.2534,-0.4268,0.1831,0.4272,-0.0610,22.00,30.00,-10.00
3019,3894,3769,3126,3215,3963,3978,3957,3718,3945,3975,584,-0.8739,-0.2542,-0.4276,0.2441,0.4883,-0.1221,24.00,33.00,-16.00
3067,3893,3771,3120,3216,3963,3978,3960,3719,3941,3976,583,-0.8751,-0.2529,-0.4268,0.1831,0.1221,-0.1221,24.00,33.00,-16.00
3131,3893,3774,3107,3210,3959,3979,3959,3714,3939,3975,582,-0.8743,-0.2538,-0.4272,0.1831,0.1831,0.0610,24.00,31.00,-13.00
3179,3894,3774,3102,3213,3963,3980,3957,3718,3934,3979,583,-0.8752,-0.2535,-0.4263,0.1831,0.1831,-0.1831,24.00,31.00,-13.00
3243,3892,3776,3096,3212,3964,3984,3956,3719,3940,3980,584,-0.8750,-0.2526,-0.4263,0.2441,0.3052,0.0000,25.00,32.00,-14.00
3305,3895,3775,3096,3203,3961,3978,3960,3715,3941,3975,584,-0.8749,-0.2528,-0.4258,0.3662,0.3662,0.0000,27.00,33.00,-11.00
3353,3892,3779,3094,3197,3963,3980,3957,3718,3936,3975,582,-0.8770,-0.2527,-0.4250,0.1221,0.0610,0.3052,27.00,33.00,-11.00
3416,3893,3777,3105,3184,3963,3981,3956,3718,3938,3977,585,-0.8718,-0.2517,-0.4264,0.1221,0.3052,0.9155,26.00,33.00,-12.00
3476,3896,3778,3111,3152,3965,3982,3958,3720,3937,3978,584,-0.8745,-0.2561,-0.4269,0.0610,0.7935,0.8545,26.00,33.00,-12.00
3540,3887,3780,3105,3129,3963,3979,3955,3717,3938,3975,583,-0.8777,-0.2559,-0.4257,0.6104,0.9155,-0.6104,24.00,31.00,-15.00
3588,3887,3784,3108,3135,3964,3984,3954,3719,3935,3978,584,-0.8768,-0.2532,-0.4242,0.3052,0.2441,-0.6714,24.00,31.00,-15.00
3652,3892,3782,3111,3144,3964,3981,3953,3716,3940,3978,583,-0.8756,-0.2533,-0.4243,0.3662,0.0610,0.3662,26.00,34.00,-8.00
3700,3890,3782,3117,3144,3961,3982,3954,3717,3937,3979,585,-0.8759,-0.2520,-0.4249,0.3052,0.2441,0.4272,26.00,34.00,-8.00
3764,3892,3781,3111,3141,3960,3982,3953,3717,3935,3976,585,-0.8771,-0.2554,-0.4244,0.3662,0.3662,0.4272,24.00,33.00,-13.00
3826,3892,3781,3117,3144,3964,3983,3954,3715,3936,3978,583,-0.8751,-0.2539,-0.4231,0.3662,0.1221,-0.5493,26.00,33.00,-15.00
3886,3892,3784,3121,3152,3964,3980,3957,3718,3936,3978,584,-0.8761,-0.2532,-0.4247,0.1831,0.1831,-0.1221,26.00,33.00,-15.00
3950,3891,3785,3122,3153,3966,3981,3956,3719,3938,3979,585,-0.8755,-0.2529,-0.4231,0.1221,0.0610,0.1221,24.00,30.00,-16.00
3998,3888,3781,3118,3153,3964,3982,3953,3718,3939,3978,583,-0.8744,-0.2529,-0.4240,0.1831,0.1221,0.1221,24.00,30.00,-16.00
4061,3892,3784,3119,3156,3970,3979,3956,3718,3938,3978,584,-0.8741,-0.2537,-0.4255,0.1831,0.2441,0.0000,27.00,32.00,-10.00
4111,3890,3784,3120,3156,3964,3980,3956,3709,3936,3974,584,-0.8755,-0.2535,-0.4260,0.2441,0.1831,0.0000,23.00,33.00,-13.00
4160,3892,3785,3116,3157,3964,3981,3955,3717,3935,3975,584,-0.8763,-0.2526,-0.4253,0.1831,0.3052,-0.0610,23.00,33.00,-13.00
